,Date,Close
699,2022-12-01,77.57
700,2022-12-02,77.94
701,2022-12-03,76.47
702,2022-12-04,77.07
703,2022-12-05,80.19
704,2022-12-06,79.88
705,2022-12-07,76.89
706,2022-12-08,78.27
707,2022-12-09,76.31
708,2022-12-10,76.36
709,2022-12-11,76.5
710,2022-12-12,76.23
711,2022-12-13,77.39
712,2022-12-14,75.3
713,2022-12-15,72.42
714,2022-12-16,66.25
715,2022-12-17,64.89
716,2022-12-18,64.37
717,2022-12-19,63.37
718,2022-12-20,65.55
719,2022-12-21,65.4
720,2022-12-22,66.21
721,2022-12-23,65.75
722,2022-12-24,65.76
723,2022-12-25,69.15
724,2022-12-26,70.78
725,2022-12-27,68.67
726,2022-12-28,66.32
727,2022-12-29,66.66
728,2022-12-30,67.94
729,2022-12-31,70.14
730,2023-01-01,70.91
731,2023-01-02,74.74
732,2023-01-03,75.57
733,2023-01-04,75.46
734,2023-01-05,74.25
735,2023-01-06,75.91
736,2023-01-07,76.4
737,2023-01-08,78.68
738,2023-01-09,81.62
739,2023-01-10,80.83
740,2023-01-11,84.08
741,2023-01-12,86.09
742,2023-01-13,86.23
743,2023-01-14,87.84
744,2023-01-15,87.37
745,2023-01-16,85.91
746,2023-01-17,87.02
747,2023-01-18,82.62
748,2023-01-19,84.21
749,2023-01-20,90.28
750,2023-01-21,87.91
751,2023-01-22,87.58
752,2023-01-23,89.9
753,2023-01-24,87.19
754,2023-01-25,89.38
755,2023-01-26,87.52
756,2023-01-27,88.89
757,2023-01-28,89.67
758,2023-01-29,94.84
759,2023-01-30,91.37
760,2023-01-31,94.09
761,2023-02-01,100.33
762,2023-02-02,98.64
763,2023-02-03,99.86
764,2023-02-04,98.51
765,2023-02-05,96.63
766,2023-02-06,95.93
767,2023-02-07,100.86
768,2023-02-08,99.22
769,2023-02-09,92.05
770,2023-02-10,93.34
771,2023-02-11,94.28
772,2023-02-12,92.51
773,2023-02-13,91.05
774,2023-02-14,95.82
775,2023-02-15,102.82
776,2023-02-16,98.55
777,2023-02-17,100.12
778,2023-02-18,99.71
779,2023-02-19,97.43
780,2023-02-20,95.9
781,2023-02-21,93.8
782,2023-02-22,95.28
783,2023-02-23,94.59
784,2023-02-24,91.55
785,2023-02-25,93.15
786,2023-02-26,95.27
787,2023-02-27,94.07
788,2023-02-28,93.8
789,2023-03-01,97.78
790,2023-03-02,95.39
791,2023-03-03,90.56
792,2023-03-04,89.34
793,2023-03-05,89.93
794,2023-03-06,87.36
795,2023-03-07,86.29
796,2023-03-08,82.76
797,2023-03-09,76.68
798,2023-03-10,71.37
799,2023-03-11,69.21
800,2023-03-12,76.26
801,2023-03-13,81.46
802,2023-03-14,83.94
803,2023-03-15,76.43
804,2023-03-16,78.86
805,2023-03-17,85.51
806,2023-03-18,83.02
807,2023-03-19,83.98
808,2023-03-20,78.05
809,2023-03-21,82.48
810,2023-03-22,87.27
811,2023-03-23,93.61
812,2023-03-24,93.58
813,2023-03-25,91.5
814,2023-03-26,93.32
815,2023-03-27,89.23
816,2023-03-28,89.13
817,2023-03-29,91.31
818,2023-03-30,89.06
819,2023-03-31,89.57
820,2023-04-01,92.57
821,2023-04-02,92.77
822,2023-04-03,92.97
823,2023-04-04,92.58
824,2023-04-05,92.64
825,2023-04-06,90.97
826,2023-04-07,90.6
827,2023-04-08,89.91
828,2023-04-09,90.58
829,2023-04-10,93.78
830,2023-04-11,94.22
831,2023-04-12,92.06
832,2023-04-13,94.17
833,2023-04-14,96.33
834,2023-04-15,96.68
835,2023-04-16,100.01
836,2023-04-17,98.84
837,2023-04-18,101.95
838,2023-04-19,90.47
839,2023-04-20,90.22
840,2023-04-21,85.32
841,2023-04-22,87.0
842,2023-04-23,86.75
843,2023-04-24,88.31
844,2023-04-25,91.03
845,2023-04-26,88.13
846,2023-04-27,89.73
847,2023-04-28,89.63
848,2023-04-29,91.08
849,2023-04-30,88.22
850,2023-05-01,86.75
851,2023-05-02,88.2
852,2023-05-03,88.88
853,2023-05-04,88.38
854,2023-05-05,88.61
855,2023-05-06,83.26
856,2023-05-07,83.42
857,2023-05-08,77.71
858,2023-05-09,79.9
859,2023-05-10,80.93
860,2023-05-11,80.88
861,2023-05-12,80.45
862,2023-05-13,80.26
863,2023-05-14,83.5
864,2023-05-15,86.89
865,2023-05-16,89.99
866,2023-05-17,93.88
867,2023-05-18,90.43
868,2023-05-19,91.8
869,2023-05-20,92.42
870,2023-05-21,92.18
871,2023-05-22,90.83
872,2023-05-23,91.7
873,2023-05-24,85.82
874,2023-05-25,86.57
875,2023-05-26,87.08
876,2023-05-27,88.55
877,2023-05-28,91.45
878,2023-05-29,90.86
879,2023-05-30,92.25
880,2023-05-31,90.42
881,2023-06-01,94.19
882,2023-06-02,95.45
883,2023-06-03,96.03
884,2023-06-04,94.19
885,2023-06-05,87.71
886,2023-06-06,90.92
887,2023-06-07,88.85
888,2023-06-08,88.5
889,2023-06-09,89.3
890,2023-06-10,77.13
891,2023-06-11,77.68
892,2023-06-12,77.5
893,2023-06-13,77.5
894,2023-06-14,73.15
895,2023-06-15,74.6
896,2023-06-16,76.13
897,2023-06-17,76.86
898,2023-06-18,77.19
899,2023-06-19,77.48
900,2023-06-20,80.33
901,2023-06-21,85.05
902,2023-06-22,85.93
903,2023-06-23,91.26
904,2023-06-24,89.71
905,2023-06-25,88.2
906,2023-06-26,87.21
907,2023-06-27,88.07
908,2023-06-28,83.02
909,2023-06-29,84.73
910,2023-06-30,108.7
911,2023-07-01,107.1
912,2023-07-02,113.58
913,2023-07-03,107.27
914,2023-07-04,104.27
915,2023-07-05,102.6
916,2023-07-06,95.25
917,2023-07-07,98.23
918,2023-07-08,97.79
919,2023-07-09,95.08
920,2023-07-10,96.72
921,2023-07-11,96.77
922,2023-07-12,96.21
923,2023-07-13,101.85
924,2023-07-14,95.13
925,2023-07-15,94.78
926,2023-07-16,92.89
927,2023-07-17,92.2
928,2023-07-18,91.56
929,2023-07-19,91.99
930,2023-07-20,92.37
931,2023-07-21,94.09
932,2023-07-22,92.09
933,2023-07-23,93.16
934,2023-07-24,89.14
935,2023-07-25,89.45
936,2023-07-26,90.64
937,2023-07-27,90.6
938,2023-07-28,91.44
939,2023-07-29,94.32
940,2023-07-30,94.03
941,2023-07-31,92.28
942,2023-08-01,93.94
943,2023-08-02,87.54
944,2023-08-03,82.55
945,2023-08-04,82.2
946,2023-08-05,83.12
947,2023-08-06,82.57
948,2023-08-07,82.49
949,2023-08-08,83.86
950,2023-08-09,84.08
951,2023-08-10,83.14
952,2023-08-11,83.58
953,2023-08-12,83.47
954,2023-08-13,81.92
955,2023-08-14,82.11
956,2023-08-15,79.26
957,2023-08-16,74.56
958,2023-08-17,64.77
959,2023-08-18,63.98
960,2023-08-19,64.18
961,2023-08-20,65.25
962,2023-08-21,67.0
963,2023-08-22,64.83
964,2023-08-23,65.64
965,2023-08-24,64.88
966,2023-08-25,65.13
967,2023-08-26,65.01
968,2023-08-27,65.39
969,2023-08-28,65.52
970,2023-08-29,68.86
971,2023-08-30,67.65
972,2023-08-31,63.89
973,2023-09-01,62.98
974,2023-09-02,64.59
975,2023-09-03,63.93
976,2023-09-04,63.75
977,2023-09-05,63.15
978,2023-09-06,62.87
979,2023-09-07,63.71
980,2023-09-08,62.61
981,2023-09-09,63.06
982,2023-09-10,61.11
983,2023-09-11,58.85
984,2023-09-12,59.96
985,2023-09-13,61.98
986,2023-09-14,62.83
987,2023-09-15,65.89
988,2023-09-16,65.38
989,2023-09-17,63.55
990,2023-09-18,65.89
991,2023-09-19,67.28
992,2023-09-20,64.55
993,2023-09-21,64.69
994,2023-09-22,64.37
995,2023-09-23,65.07
996,2023-09-24,63.58
997,2023-09-25,64.33
998,2023-09-26,63.8
999,2023-09-27,63.53
1000,2023-09-28,65.21
1001,2023-09-29,65.55
1002,2023-09-30,65.97
1003,2023-10-01,68.19
1004,2023-10-02,65.97
1005,2023-10-03,65.5
1006,2023-10-04,64.4
1007,2023-10-05,64.8
1008,2023-10-06,65.5
1009,2023-10-07,65.45
1010,2023-10-08,65.34
1011,2023-10-09,63.07
1012,2023-10-10,63.61
1013,2023-10-11,61.55
